"Figure 1. Cumulative Mass Balance of Greenland and Antarctica, 1992–2023",,,,,,
2008.5833,,,-490.9238,365.2517,-1260.3971,322.2389
2008.62,-602.77,-1633.98,,,,
2008.6667,,,-500.001,366.4642,-1280.7182,323.1551
2008.71,-445.65,-1697.09,,,,
2008.75,,,-509.1251,367.698,-1300.8628,324.076
2008.79,-533.6,-1687.37,,,,
2008.8333,,,-518.9396,368.881,-1320.7794,324.9812
2008.87,-519.85,-1613.58,,,,
2008.9167,,,-528.647,370.0364,-1340.3946,325.8583
2008.96,-624.13,-1541.77,,,,
2009,,,-537.593,371.2848,-1360.1354,326.6886
2009.04,-704.53,-1522.86,,,,
2009.0833,,,-546.6279,372.5738,-1379.9937,327.5338
2009.12,-678.9,-1568.03,,,,
2009.1667,,,-555.6422,373.8551,-1400.356,328.4702
2009.2,-615.39,-1567.46,,,,
2009.25,,,-564.4879,375.0905,-1421.2267,329.501
2009.29,-579.85,-1547.33,,,,
2009.3333,,,-573.3079,376.3171,-1443.1715,330.56
2009.37,-553.7,-1530.18,,,,
2009.4167,,,-582.1662,377.551,-1465.4078,331.6137
2009.46,-539.4,-1538.64,,,,
2009.5,,,-591.0464,378.8,-1487.8512,332.6565
2009.54,-438.18,-1647.77,,,,
2009.5833,,,-600.2022,380.0709,-1510.3793,333.701
2009.62,-470.26,-1856.35,,,,
2009.6667,,,-609.611,381.3721,-1532.94,334.7383
2009.71,-482.74,-1909.93,,,,
2009.75,,,-619.3081,382.7082,-1555.4265,335.7722
2009.79,-536.84,-1886.63,,,,
2009.8333,,,-629.0507,384.0149,-1579.3226,336.8053
2009.87,-523.89,-1867,,,,
2009.9167,,,-638.9202,385.3357,-1603.1047,337.8339
2009.96,-632.27,-1842.69,,,,
2010,,,-650.234,386.6318,-1628.7267,338.7432
2010.04,-800.71,-1846.48,,,,
2010.0833,,,-661.8378,387.9163,-1654.4522,339.6587
2010.12,-807.22,-1828.12,,,,
2010.1667,,,-673.5217,389.1707,-1680.4577,340.5781
2010.2,-689.17,-1816.47,,,,
2010.25,,,-684.9515,390.4022,-1706.766,341.4743
2010.29,-759.37,-1840.21,,,,
2010.3333,,,-696.0824,391.5911,-1733.3734,342.3158
2010.37,-781.33,-1807.32,,,,
2010.4167,,,-707.1116,392.7624,-1760.1668,343.1206
2010.45,-793.71,-1914.49,,,,
2010.5,,,-718.0778,393.92,-1787.0669,343.9058
2010.54,-996.72,-2088.82,,,,
2010.5833,,,-730.8805,394.9093,-1814.0133,344.6805
2010.62,-926.99,-2281.93,,,,
2010.6667,,,-743.7474,395.8889,-1840.9828,345.4536
2010.71,-847.4,-2381.12,,,,
2010.75,,,-756.6274,396.8612,-1867.8764,346.2464
2010.79,-880.5,-2343.45,,,,
2010.8333,,,-769.416,397.817,-1894.6492,347.0747
2010.87,-900.64,-2362.25,,,,
2010.9167,,,-782.174,398.767,-1921.3438,347.9106
2010.95,-913.59,-2344.88,,,,
2011,,,-797.1427,399.7019,-1948.4185,348.8555
2011.0833,,,-812.063,400.6449,-1975.4443,349.7944
2011.13,-1001.78,-2324.14,,,,
2011.1667,,,-826.7613,401.5734,-2002.773,350.7835
2011.2,-1017.37,-2308.79,,,,
2011.25,,,-841.1522,402.5092,-2030.4743,351.8253
2011.29,-1029.65,-2305.08,,,,
2011.3333,,,-855.4194,403.4438,-2058.3982,352.8589
2011.37,-963.27,-2324.38,,,,
2011.4167,,,-869.4858,404.371,-2086.5512,353.8803
2011.5,,,-883.4187,405.3441,-2114.8071,354.8942
2011.54,-914.12,-2515.16,,,,
2011.5833,,,-897.5219,406.2606,-2143.0472,355.9083
2011.62,-929.6,-2706.85,,,,
2011.6667,,,-911.7687,407.1882,-2171.2117,356.9271
2011.71,-841.24,-2765.58,,,,
2011.75,,,-925.8704,408.1391,-2199.2588,357.9551
2011.79,-886.89,-2787.5,,,,
2011.83,-881.52,-2787.87,,,,
2011.8333,,,-939.7104,409.1555,-2227.0577,358.9822
2011.9167,,,-953.4586,410.1711,-2254.5128,359.9819
2012,-1148.87,-2727.07,-966.3077,411.2953,-2281.1051,361.0112
2012.04,-1077.27,-2737.67,,,,
2012.0833,,,-979.2599,412.3666,-2308.084,362.1241
2012.12,-1141.04,-2720.25,,,,
2012.1667,,,-992.2283,413.4081,-2335.1544,363.2415
2012.21,-1119.61,-2674.77,,,,
2012.25,,,-1005.1741,414.4299,-2362.4255,364.3373
2012.26,-1058.97,-2664.28,,,,
2012.3333,,,-1019.6649,415.3947,-2390.1142,365.4508
2012.4167,,,-1034.21,416.2789,-2417.7508,366.5778
2012.46,-1094.72,-2692.74,,,,
2012.5,,,-1048.2484,417.1054,-2444.1034,367.7112
2012.54,-1062.75,-2923.22,,,,
2012.5833,,,-1062.5322,417.9605,-2470.2546,368.8635
2012.62,-984.28,-3231.04,,,,
2012.6667,,,-1076.884,418.8112,-2496.0824,370.0369
2012.7,-951.45,-3331.98,,,,
2012.75,,,-1091.5002,419.6595,-2521.2111,371.2376
2012.8333,,,-1106.3003,420.4833,-2545.5012,372.4149
2012.88,-1073.6,-3267.29,,,,
2012.9167,,,-1121.1954,421.292,-2568.8586,373.5459
2012.96,-1118.57,-3253.83,,,,
2013,,,-1136.8152,422.1214,-2586.6482,374.6174
2013.04,-1288.4,-3250.07,,,,
2013.0833,,,-1152.557,422.9459,-2604.3707,375.6967
2013.12,-1394.93,-3242.54,,,,
2013.1667,,,-1168.328,423.7679,-2622.4383,376.7826
2013.25,,,-1183.8824,424.5946,-2640.5737,377.8788
2013.3,-1139.17,-3239.42,,,,
2013.3333,,,-1199.2936,425.4345,-2658.7222,378.9853
2013.37,-1240.37,-3203.72,,,,
2013.4167,,,-1214.5999,426.2836,-2676.8297,380.08
2013.46,-1249.16,-3185.4,,,,
2013.5,,,-1229.8878,427.1331,-2694.8478,381.1877
2013.54,-1213.64,-3297.34,,,,
2013.5833,,,-1245.304,428.0021,-2712.7414,382.3063
2013.6667,,,-1260.9021,428.885,-2730.4117,383.4228
2013.75,,,-1276.6556,429.7681,-2747.7282,384.483
2013.79,-1303.96,-3362.14,,,,
2013.8333,,,-1292.5782,430.6518,-2764.4605,385.4107
2013.87,-1350.44,-3360.84,,,,
2013.9167,,,-1308.503,431.5323,-2781.1361,386.3217
2013.96,-1401.64,-3349.36,,,,
2014,,,-1325.0045,432.3784,-2795.6684,387.0657
2014.02,-1510.71,-3334,,,,
2014.0833,,,-1341.7672,433.1608,-2809.9489,387.7564
2014.1667,,,-1358.58,433.9444,-2824.5938,388.4795
2014.2,-1618.63,-3282.36,,,,
2014.25,,,-1375.2225,434.7283,-2839.6778,389.1975
2014.29,-1536.57,-3270.57,,,,
2014.3333,,,-1391.863,435.5112,-2854.7862,389.9169
2014.37,-1444.02,-3269.19,,,,
2014.4167,,,-1408.4839,436.298,-2870.0605,390.6279
2014.45,-1488.69,-3308.8,,,,
2014.5,,,-1425.1023,437.0941,-2885.4979,391.3316
2014.5833,,,-1441.8709,437.8868,-2901.0067,392.0339
2014.62,-1539.08,-3592.51,,,,
2014.6667,,,-1458.8367,438.6543,-2916.5882,392.7307
2014.71,-1367.07,-3629.28,,,,
2014.75,,,-1475.7218,439.4208,-2932.1178,393.4236
2014.79,-1454.62,-3613.79,,,,
2014.8333,,,-1492.5518,440.1888,-2947.6909,394.1277
2014.88,-1530.54,-3609.46,,,,
2014.9167,,,-1509.2854,440.9573,-2963.1473,394.8527
2015,,,-1521.1409,441.7273,-2980.5506,395.5823
2015.06,-1833.18,-3525,,,,
2015.0833,,,-1532.3174,442.5431,-2995.3842,396.2516
2015.12,-1908.93,-3531.39,,,,
2015.1667,,,-1543.2619,443.3976,-3010.4847,396.9802
2015.2,-1873.69,-3486.1,,,,
2015.25,,,-1554.1742,444.2531,-3025.6108,397.7099
2015.29,-1852.61,-3477.01,,,,
2015.32,-1781.63,-3472.86,,,,
2015.3333,,,-1564.9476,445.1093,-3040.868,398.4411
2015.4167,,,-1575.5128,445.9714,-3056.3036,399.1683
2015.5,,,-1585.8386,446.8493,-3071.9159,399.9032
2015.53,-1752.41,-3660.25,,,,
2015.5833,,,-1596.1904,447.7571,-3087.5448,400.6414
2015.62,-1901.59,-3793.01,,,,
2015.6667,,,-1606.5464,448.6651,-3103.1654,401.379
2015.7,-1852.88,-3832.7,,,,
2015.75,,,-1617.0209,449.6254,-3118.6754,402.1199
2015.8333,,,-1627.3204,450.6041,-3133.948,402.8577
2015.9167,,,-1637.4017,451.5747,-3148.8807,403.5687
2015.98,-1898.05,-3774.33,,,,
2016,,,-1643.6966,452.5672,-3162.6661,404.2555
2016.04,-1920.04,-3719.56,,,,
2016.0833,,,-1649.9689,453.5386,-3176.4752,404.9313
2016.12,-1994.77,-3741.65,,,,
2016.1667,,,-1656.0884,454.5122,-3190.4374,405.6065
2016.21,-1930.96,-3741.63,,,,
2016.25,,,-1661.915,455.4457,-3204.6084,406.2712
2016.3333,,,-1667.4529,456.3589,-3218.9711,406.9335
2016.38,-1798.92,-3709.48,,,,
2016.4167,,,-1672.5846,457.241,-3233.5083,407.6005
2016.46,-1779.49,-3705.45,,,,
2016.5,,,-1677.6854,458.121,-3248.0518,408.2679
2016.54,-1663.64,-3878.63,,,,
2016.5833,,,-1682.6412,459.0134,-3262.632,408.9494
2016.64,-1616.79,-4130.64,,,,
2016.6667,,,-1687.5614,459.9209,-3277.0655,409.6386
2016.75,,,-1692.3806,460.8452,-3291.314,410.3369
2016.8333,,,-1696.8638,461.7866,-3304.931,411.0239
2016.91,-1682.12,-4005.09,,,,
2016.9167,,,-1701.32,462.729,-3318.5086,411.7076
2016.98,-1595.14,-4070.45,,,,
2017,,,-1708.4517,463.7146,-3325.7547,412.3067
2017.06,-1618.06,-4021.95,,,,
2017.0833,,,-1715.8268,464.7388,-3332.7538,412.9005
2017.1667,,,-1723.2832,465.7864,-3339.8203,413.5062
2017.25,-1947.58,-4015.31,,,,
2017.25,,,-1730.7407,466.8279,-3347.0825,414.1125
2017.31,-1864.79,-3977.07,,,,
2017.3333,,,-1735.6683,467.886,-3354.459,414.6968
2017.36,-1827.44,-3968.81,,,,
2017.4167,,,-1740.8152,468.9365,-3361.879,415.2624
2017.44,-1834.85,-4001.1,,,,
2017.5,,,-1746.3251,469.9912,-3369.2825,415.8271
2017.5833,,,-1752.1787,471.0357,-3376.5957,416.384
2017.6667,,,-1758.3453,472.0629,-3383.8511,416.9346
2017.75,,,-1764.7904,473.049,-3391.0183,417.4715
2017.8333,,,-1771.1343,474.0575,-3398.1306,417.9923
2017.9167,,,-1777.7262,475.0312,-3404.9993,418.4534
2018,,,-1790.8978,476.0199,-3414.5922,419.1395
2018.0833,,,-1803.7528,477.0113,-3425.1881,419.6764
2018.1667,,,-1816.2016,477.9745,-3436.4636,420.2467
2018.25,,,-1828.3662,478.969,-3448.0272,421.0341
2018.3333,,,-1840.4816,479.9609,-3459.7905,421.9591
2018.4167,,,-1852.7136,480.969,-3471.7985,422.9458
2018.45,-2011.29,-4042.46,,,,
2018.5,,,-1864.9376,482.0025,-3484.1158,423.888
2018.52,-2038.65,-4071.27,,,,
2018.5833,,,-1882.0358,483.1485,-3504.5661,425.2304
2018.6667,,,-1899.4289,484.3718,-3525.1455,426.5454
2018.75,,,-1917.2479,485.5098,-3546.2609,427.8368
2018.83,-2181.75,-4260.77,,,,
2018.8333,,,-1935.1749,486.6526,-3568.1617,429.0739
2018.87,-2139.33,-4226.3,,,,
2018.9167,,,-1953.3064,487.7862,-3591.2249,430.2358
2018.96,-2278.93,-4201.97,,,,
2019,,,-1971.7226,489.1474,-3628.6069,431.2517
2019.04,-2396.49,-4206.63,,,,
2019.0833,,,-1986.4037,490.5863,-3665.4993,432.079
2019.12,-2456.18,-4242.06,,,,
2019.1667,,,-1999.9719,492.1692,-3702.5499,432.8982
2019.2,-2402.51,-4256.46,,,,
2019.25,,,-2013.3931,493.7432,-3739.6298,433.7081
2019.29,-2369.12,-4240.45,,,,
2019.3333,,,-2026.8509,495.3068,-3776.6629,434.5151
2019.37,-2209.54,-4196.34,,,,
2019.4167,,,-2040.3475,496.8625,-3813.6246,435.3269
2019.45,-2265.6,-4270.6,,,,
2019.5,,,-2053.8441,498.4134,-3850.5862,436.1372
2019.54,-2128.46,-4462.53,,,,
2019.5833,,,-2067.3407,499.9595,-3887.5479,436.946
2019.62,-2290.19,-4708.03,,,,
2019.6667,,,-2080.8373,501.5008,-3924.5096,437.7533
2019.71,-2333.01,-4815.07,,,,
2019.75,,,-2094.1999,503.0453,-3961.5352,438.5664
2019.79,-2315.12,-4807.56,,,,
2019.8333,,,-2107.5624,504.5852,-3998.5608,439.378
2019.87,-2324.3,-4737.82,,,,
2019.9167,,,-2120.967,506.1329,-4035.6761,440.1941
2019.96,-2431.05,-4736.3,,,,
2020,,,-2134.3715,507.6758,-4072.7915,441.0087
2020.04,-2675.41,-4794.18,,,,
2020.0833,,,-2141.5935,509.7293,-4105.5353,442.4564
2020.12,-2777.95,-4785.89,,,,
2020.1667,,,-2148.8156,511.7745,-4138.2792,443.8994
2020.21,-2699.03,-4787.76,,,,
2020.25,,,-2156.0376,513.8116,-4171.023,445.3378
2020.29,-2576.32,-4756.48,,,,
2020.3333,,,-2163.2597,515.8407,-4203.7668,446.7715
2020.37,-2453.85,-4731.35,,,,
2020.4167,,,-2170.4817,517.8617,-4236.5107,448.2006
2020.46,-2396.04,-4770,,,,
2020.5,,,-2177.7038,519.875,-4269.2545,449.6252
2020.54,-2446.53,-4903.05,,,,
2020.5833,,,-2184.9258,521.8805,-4301.9983,451.0452
2020.62,-2408.31,-4999.58,,,,
2020.6667,,,-2192.1479,523.8783,-4334.7422,452.4609
2020.71,-2469.8,-5015.04,,,,
2020.75,,,-2199.3699,525.8685,-4367.486,453.8721
2020.79,-2532.65,-4948.91,,,,
2020.8333,,,-2206.592,527.8512,-4400.2298,455.2789
2020.87,-2600.9,-4936.85,,,,
2020.9167,,,-2213.814,529.8264,-4432.9737,456.6814
2020.96,-2647.8,-4942.51,,,,
2021.04,-2860.19,-4915.52,,,,
2021.12,-2648.34,-4941.48,,,,
2021.2,-2675.62,-4922.4,,,,
2021.29,-2459.77,-4883.15,,,,
2021.37,-2488,-4930.09,,,,
2021.46,-2661.39,-4917.88,,,,
2021.54,-2672.21,-4961.73,,,,
2021.62,-2611.67,-5110.53,,,,
2021.71,-2699.11,-5160.19,,,,
2021.79,-2500.67,-5203.38,,,,
2021.87,-2738.71,-5198.53,,,,
2021.96,-2643.95,-5156.35,,,,
2022.04,-2736.97,-5127.09,,,,
2022.12,-2695.79,-5115.45,,,,
2022.2,-2619.82,-5086.03,,,,
2022.29,-2381.01,-5099.45,,,,
2022.37,-2285.63,-5091.58,,,,
2022.45,-2306.92,-5075.09,,,,
2022.54,-2415.71,-5178.49,,,,
2022.62,-2369.81,-5293.44,,,,
2022.71,-2353.78,-5340.8,,,,
2022.79,-2408.9,-5329.3,,,,
2022.87,-2340.82,-5250.97,,,,
2022.96,-2341,-5205.19,,,,
2023.04,-2409.59,-5304.74,,,,
2023.12,-2460.45,-5306.68,,,,
2023.2,-2362.12,-5252.4,,,,
2023.29,-2151.29,-5267.72,,,,
2023.37,-2297.35,-5246.85,,,,
2023.45,-2298.12,-5218.44,,,,
